How often do you shop at Target?,Rank Price,Rank  Location,Rank  Products,Rank In-Store Experience,Rank Online Experience,Rank  Promotion/Sale,Rank  Others (please specify)," (1- the greatest influence, 6- the lowest influence)",Have your shopping habits at Target changed since 2020?,How have your shopping habits changed? - Selected Choice,How have your shopping habits changed? - Others(please specify) - Text,How do you rate your shopping experience? - Online,How do you rate your shopping experience? - In-Store,Since 2020 how much did your shopping experience improve?,Which Company would you prefer shopping based on the following categories? - Product Variety,Which Company would you prefer shopping based on the following categories? - Price,Which Company would you prefer shopping based on the following categories? - Shopping Experience,Which Company would you prefer shopping based on the following categories? - Promotions/Deals,"Do you take advantage of Target's ""RedCard"" loyalty rewards Program while shopping?",Which product lines do you like to shop at Target?,Do you prefer to shop Target's in-house brands?,What would make you to consider Target's in-house brands over other brands? - Selected Choice,What would make you to consider Target's in-house brands over other brands? - Other - Text,What is your perception of Target as a brand?,How likely do you recommend Target?,What areas can Target improve on?,What age group are you in?,What do you identify as? - Selected Choice,What do you identify as? - Self describe - Text
Never,3,1,2,5,4,6,7,,Remained the same,,,2,3,Improved significantly,Amazon,Amazon,Amazon,Amazon,Definitely not,Other,No,Other,,Very Poor,Neither likely nor unlikely,,18-26,Male,
Once a week,1,4,3,5,6,2,7,,Changed slightly,More online shopping,,5,3,Improved slightly,Amazon,Amazon,Amazon,Target,Probably not,Groceries,No,Availability,,Good,Somewhat likely,,18-26,Male,
Once a month,1,2,4,5,6,3,7,,Changed significantly,More in-store shopping,,3,4,Remained the same,Amazon,Amazon,Target,Target,Definitely yes,"Groceries,Clothing, shoes, accessories,Electronics,Baby,Personal Care",Yes,,,Good,Neither likely nor unlikely,customer service ,27-40,Female,
Once a month,3,1,2,4,5,6,7,,Changed significantly,More online shopping,,4,2,Improved significantly,Amazon,Walmart,Target,Amazon,Sometimes yes,"Clothing, shoes, accessories,Home,Personal Care",Yes,,,Very Good,Extremely likely,,41-55,Female,
Once a month,1,3,4,5,6,2,7,,Changed slightly,More online shopping,,5,5,Improved slightly,Amazon,Walmart,Target,Target,Definitely yes,"Clothing, shoes, accessories,Home,Kitchen/Dining,Personal Care,Other",Maybe,Product quality,,Very Good,Extremely likely,Stop putting politics in shopping. Be neutral. ,41-55,Female,
Once a month,2,4,3,5,6,1,7,Cleanliness of the store,Remained the same,,,4,4,Improved slightly,Amazon,Amazon,Target,Target,Might or might not,"Clothing, shoes, accessories,Electronics,Baby,Personal Care,Other",Maybe,Product quality,,Good,Somewhat likely,Having more cashiers ,41-55,Male,
Once a month,3,6,1,4,5,2,7,,Changed slightly,More in-store shopping,,3,5,Improved significantly,Target,Target,Target,Amazon,Might or might not,"Groceries,Clothing, shoes, accessories,Health,Other",Maybe,Availability,,Average,Neither likely nor unlikely,,27-40,Male,
Once a month,1,5,2,4,3,6,7,,Remained the same,,,2,4,Remained the same,Amazon,Target,Target,Amazon,Probably not,"Clothing, shoes, accessories,Home",Yes,,,Good,Somewhat likely,Variety of products ,18-26,Female,
Once a week,1,4,5,3,6,2,7,,Changed slightly,More online shopping,,2,4,Improved slightly,Amazon,Target,Target,Target,Might or might not,"Clothing, shoes, accessories,Home,Baby,Personal Care,Health",Maybe,Product quality,,Good,Somewhat likely,The website search engine and inventory availability ,27-40,Female,
Once a month,,,,,,,,,Changed significantly,More in-store shopping,,2,4,Improved significantly,Walmart,Walmart,Walmart,Walmart,Might or might not,Home,Maybe,Availability,,Average,Neither likely nor unlikely,Advertising,18-26,Male,
Once a month,3,2,1,5,6,4,7,,Changed slightly,More online shopping,,3,3,Remained the same,Walmart,Target,Target,Amazon,Might or might not,"Groceries,Home,Kitchen/Dining,Electronics,Baby,Personal Care",Maybe,Price,,Average,Neither likely nor unlikely,,18-26,Male,
Once a month,1,2,3,4,5,6,7,,Changed slightly,More online shopping,,4,,Decreased slightly,Target,Amazon,Target,Amazon,Might or might not,"Groceries,Clothing, shoes, accessories,Baby,Personal Care",Maybe,Price,,Very Good,Extremely unlikely,,27-40,Female,
Once a week,5,6,1,2,3,4,7,,Changed slightly,More online shopping,,4,5,Improved significantly,Amazon,Amazon,Target,Amazon,Sometimes yes,"Clothing, shoes, accessories,Home,Personal Care",Yes,,,Very Good,Extremely likely,Sale ,18-26,Female,
Once a month,1,2,3,4,5,6,7,,Remained the same,,,,5,Remained the same,Walmart,Walmart,Walmart,Target,Sometimes yes,"Clothing, shoes, accessories,Electronics",Maybe,Product quality,,Good,Somewhat likely,,27-40,Male,
Once a month,3,6,1,2,5,4,7,,Remained the same,,,2,3,Remained the same,Target,Target,Walmart,Target,Might or might not,"Clothing, shoes, accessories,Personal Care,Health",Yes,,,Good,Extremely likely,,18-26,Female,
Once a month,4,6,1,5,3,2,7,,Changed slightly,Others(please specify),Shopping more @Target,4,3,Improved slightly,Amazon,Amazon,Target,Walmart,Sometimes yes,"Clothing, shoes, accessories,Other",Yes,,,Good,Extremely likely,,41-55,Female,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Once a week,1,2,3,4,5,6,7,,Changed significantly,More in-store shopping,,2,5,Remained the same,Walmart,Walmart,Target,Amazon,Probably not,"Electronics,Personal Care",Maybe,Price,,Good,Extremely likely,,,Male,
Once a month,2,1,5,6,3,4,7,,Changed slightly,More online shopping,,4,4,Improved slightly,Amazon,Walmart,Target,Amazon,Might or might not,"Clothing, shoes, accessories,Kitchen/Dining,Electronics,Personal Care,Health",Yes,,,Good,Neither likely nor unlikely,,18-26,Female,
Once a week,1,2,4,3,5,6,7,,Remained the same,,,4,5,Improved significantly,Target,Target,Target,Target,Definitely yes,Baby,Yes,,,Very Good,Extremely likely,Clothing department could improve,27-40,Male,
Once a month,2,4,1,5,6,3,7,,Remained the same,,,3,3,Remained the same,Amazon,Walmart,Walmart,Walmart,Might or might not,"Groceries,Clothing, shoes, accessories,Furniture,Kitchen/Dining,Electronics,Personal Care",Maybe,,,,,,,,
Once a month,1,6,3,4,5,2,7,,Changed slightly,More online shopping,,3,4,Improved slightly,Amazon,Amazon,Target,Amazon,Definitely yes,"Clothing, shoes, accessories,Furniture,Kitchen/Dining,Personal Care,Health",Maybe,Price,,Average,Somewhat likely,Quality,41-55,Female,
Once a month,4,1,2,3,6,5,7,,Changed significantly,More online shopping,,2,4,Remained the same,Amazon,Amazon,Walmart,Amazon,Probably not,"Home,Kitchen/Dining,Electronics,Personal Care",Maybe,Product quality,,Average,Somewhat likely,Having higher end electronics and accessories.,27-40,Male,
Once a week,6,1,2,4,3,5,7,,Remained the same,,,3,0,Decreased slightly,Amazon,Amazon,Target,Target,Sometimes yes,"Groceries,Clothing, shoes, accessories,Furniture,Kitchen/Dining,Personal Care,Health,Other",Maybe,Price,,Good,Somewhat likely,,27-40,Female,
Once a month,5,1,2,4,6,3,7,,Remained the same,,,1,3,Remained the same,Target,Amazon,Amazon,Amazon,Sometimes yes,"Clothing, shoes, accessories,Personal Care,Health",Yes,,,Good,Somewhat likely,n/a,18-26,Female,
Once a month,2,3,5,4,6,1,7,,Changed slightly,More online shopping,,5,3,Improved slightly,Amazon,Walmart,Amazon,Walmart,Definitely not,"Groceries,Clothing, shoes, accessories",Maybe,Product quality,,Very Good,Extremely likely,,27-40,Male,
Never,1,4,3,6,5,2,7,,Remained the same,,,3,3,Remained the same,Walmart,Walmart,Target,Walmart,Probably not,"Clothing, shoes, accessories,Home,Personal Care",Maybe,Price,,Good,Somewhat likely,,18-26,Male,
Once a month,4,1,2,3,5,6,7,,Changed slightly,Others(please specify),no change,1,4,Remained the same,Target,Walmart,Target,Amazon,Probably not,"Groceries,Personal Care,Health",Yes,,,Very Good,Extremely likely,customer engagement,41-55,Male,
Once a month,1,2,3,5,6,4,7,,Changed slightly,More online shopping,,3,3,Improved slightly,Amazon,Target,Walmart,Target,Probably not,"Clothing, shoes, accessories,Home",Yes,,,Good,Somewhat likely,,27-40,Female,
Daily,1,2,3,4,6,7,5,,,More in-store shopping,,2,2,Improved significantly,Target,Walmart,Target,Amazon,Definitely not,"Groceries,Home",Yes,,,Very Good,Extremely unlikely,,18-26,Male,
Once a month,2,6,4,3,5,1,7,,Changed slightly,More online shopping,,1,2,Improved significantly,Target,,,,Definitely not,Groceries,Maybe,Product variety,,Very Good,Somewhat unlikely,price,18-26,Female,
Once a month,2,6,1,5,4,3,7,,Remained the same,,,2,3,Improved slightly,Walmart,Walmart,Amazon,Target,Probably not,"Clothing, shoes, accessories,Electronics",Maybe,Price,,Good,Somewhat unlikely,,27-40,Male,
Once a month,1,2,4,3,5,6,7,,Changed significantly,More in-store shopping,,1,4,Improved significantly,Walmart,Walmart,Walmart,Walmart,Probably not,Other,Maybe,Price,,Good,Neither likely nor unlikely,,18-26,Female,
Never,2,1,6,4,5,3,7,,Remained the same,,,,,Decreased significantly,Walmart,Walmart,Walmart,Walmart,Definitely not,Kitchen/Dining,No,Price,,Average,Somewhat likely,,27-40,Male,
Once a month,4,1,2,3,5,6,7,,Remained the same,,,0,3,Remained the same,Amazon,Amazon,Amazon,Amazon,Definitely not,"Electronics,Personal Care,Other",No,Other,,Average,Neither likely nor unlikely,any,27-40,Male,
Once a month,1,3,4,2,5,6,7,,Changed slightly,More online shopping,,5,,Improved significantly,Walmart,Walmart,Target,Walmart,Definitely not,"Groceries,Clothing, shoes, accessories,Home,Baby,Personal Care,Health",Maybe,Product quality,,Very Good,Extremely unlikely,,41-55,Female,
Once a month,4,3,1,2,6,5,7,Threshold products ,Changed significantly,More online shopping,,5,5,Improved slightly,Amazon,Amazon,Target,Walmart,Probably not,"Clothing, shoes, accessories,Home,Furniture",Yes,,,Very Good,Extremely likely,,27-40,Female,
Once a week,2,5,4,3,6,1,7,,Remained the same,,,5,5,Improved slightly,Target,Amazon,Target,Amazon,Might or might not,"Groceries,Clothing, shoes, accessories,Personal Care,Health",Maybe,Price,,Average,Neither likely nor unlikely,,18-26,Female,
Once a month,3,2,1,6,5,4,7,,Remained the same,,,5,5,Improved slightly,Amazon,Walmart,Walmart,Walmart,Sometimes yes,"Groceries,Kitchen/Dining,Personal Care,Health",No,Product quality,,Very Good,Extremely likely,,27-40,Male,
Once a month,3,1,2,5,6,4,7,,Changed slightly,More in-store shopping,,3,3,Improved slightly,Walmart,Walmart,Target,Walmart,Probably not,"Groceries,Other",Yes,,,Good,Neither likely nor unlikely,Prices and variety,27-40,Female,
Once a month,3,1,2,5,6,4,7,,Remained the same,,,5,5,Remained the same,Amazon,Target,Target,Target,Sometimes yes,"Groceries,Clothing, shoes, accessories,Electronics,Personal Care",Yes,,,Very Good,Extremely likely,Location,41-55,Female,
Once a month,2,3,4,5,6,1,7,Drive up service,Remained the same,,,3,3,Remained the same,Amazon,Target,Walmart,Amazon,Sometimes yes,"Groceries,Clothing, shoes, accessories,Baby,Personal Care",Maybe,Price,,Good,Somewhat likely,"Mobile app, discounts price sometimes are not calculated correctly ",27-40,Female,
Once a month,2,1,3,5,4,6,7,,Changed slightly,More in-store shopping,,4,4,Improved significantly,Walmart,Walmart,Walmart,Walmart,Sometimes yes,Baby,Maybe,Product quality,,Good,Somewhat unlikely,,27-40,Female,
Once a month,6,2,1,3,5,4,7,,Changed significantly,More online shopping,,5,5,Improved significantly,Amazon,Amazon,Target,Target,Might or might not,"Clothing, shoes, accessories,Home,Furniture,Electronics,Personal Care,Health",Yes,,,Good,Extremely likely,,18-26,Female,
Once a month,5,3,1,4,7,6,2,Retail Therapy,Remained the same,,,3,4,Improved slightly,Target,Walmart,Target,Amazon,Sometimes yes,"Groceries,Clothing, shoes, accessories,Personal Care,Other",Maybe,Product quality,,Very Good,Extremely likely,,18-26,Female,
Once a month,2,4,5,1,6,3,7,,Remained the same,,,3,3,Improved slightly,Target,Walmart,Amazon,Amazon,Definitely not,"Clothing, shoes, accessories,Home",Maybe,Product variety,,Good,Extremely likely,,18-26,Female,
Once a month,1,2,3,4,5,6,7,,Changed significantly,More online shopping,,4,4,Improved significantly,Amazon,Amazon,Amazon,Target,Probably not,"Groceries,Electronics,Baby,Health",Maybe,,,,,,,,
Once a month,5,1,4,2,6,3,7,,Remained the same,,,3,5,Improved slightly,Amazon,Walmart,Target,Target,Sometimes yes,"Groceries,Home,Furniture,Kitchen/Dining,Electronics,Personal Care,Health",Yes,,,Good,Extremely likely,,18-26,Female,
Once a month,2,3,1,5,6,4,7,,Remained the same,,,1,4,Remained the same,Amazon,Target,Target,Amazon,Sometimes yes,"Home,Electronics,Personal Care,Health",No,Price,,Very Good,Extremely likely,,27-40,Female,
Once a month,4,6,2,1,5,3,7,,Changed significantly,More in-store shopping,,4,4,Remained the same,,Amazon,Target,Target,Sometimes yes,"Clothing, shoes, accessories,Electronics,Personal Care",Yes,,,Good,Somewhat likely,Restock sizes often,27-40,Female,
Once a month,2,5,3,6,1,4,7,,Changed slightly,More online shopping,,3,2,Improved slightly,Target,Walmart,Amazon,Amazon,Probably not,Groceries,Yes,,,Very Good,Somewhat likely,,18-26,Male,
Once a month,2,3,1,4,5,6,7,,Changed significantly,More online shopping,,5,5,Improved significantly,Target,Amazon,Amazon,Amazon,Definitely not,Electronics,No,Product variety,,Very Good,Somewhat likely,,18-26,Male,
Once a week,5,4,2,1,6,3,7,,Changed significantly,More in-store shopping,,1,2,Improved slightly,Amazon,Amazon,Walmart,Amazon,Definitely not,"Groceries,Kitchen/Dining,Electronics",No,Price,,Average,Neither likely nor unlikely,Variety of products and pricing ,18-26,Male,
Once a month,2,3,4,1,5,6,7,,Changed significantly,More online shopping,,3,5,Improved slightly,Target,Target,Target,Walmart,Definitely not,"Clothing, shoes, accessories,Kitchen/Dining,Electronics,Other",Maybe,Product quality,,Good,Somewhat likely,,18-26,Male,
Once a month,5,1,4,3,6,2,7,,Remained the same,,,4,3,Remained the same,Amazon,Walmart,Amazon,Amazon,Sometimes yes,Other,Yes,,,Good,Somewhat likely,price,18-26,Female,
Once a month,1,3,4,2,5,6,7,Toys ,Changed slightly,More in-store shopping,,4,3,Improved slightly,Amazon,Amazon,Walmart,Amazon,Might or might not,"Groceries,Clothing, shoes, accessories,Home,Furniture,Electronics,Personal Care,Health",Maybe,Availability,,Average,Somewhat unlikely,20877,27-40,Male,
Once a month,5,1,6,4,7,2,3,,Changed slightly,More online shopping,,1,1,Remained the same,Amazon,,Amazon,Target,Might or might not,"Clothing, shoes, accessories,Kitchen/Dining,Electronics,Personal Care",Yes,,,Average,Neither likely nor unlikely,promotion,41-55,Male,
Once a month,1,3,4,5,2,6,7,,Changed slightly,More in-store shopping,,1,4,Improved slightly,Target,Amazon,Target,Walmart,Definitely yes,"Groceries,Clothing, shoes, accessories",Yes,,,Good,Extremely likely,,18-26,Female,
Once a month,2,3,1,4,5,7,6,,Changed slightly,More in-store shopping,,5,5,Improved significantly,Target,Target,Target,Target,Might or might not,"Groceries,Clothing, shoes, accessories,Furniture,Kitchen/Dining,Electronics,Baby,Personal Care,Health",Yes,,,Very Good,Extremely likely,,18-26,Male,
Once a month,1,2,3,4,5,6,7,,Changed significantly,More online shopping,,3,3,Improved slightly,Amazon,Amazon,Walmart,Amazon,Definitely not,"Groceries,Clothing, shoes, accessories",Maybe,Product quality,,Good,Somewhat likely,,18-26,Male,
Once a month,,,,,,,,,Remained the same,,,5,5,Remained the same,Target,,,,Definitely not,"Clothing, shoes, accessories",Yes,,,Very Good,Extremely likely,,18-26,Male,
Once a month,,,,,,,,,Changed slightly,More online shopping,,4,4,Remained the same,Walmart,Walmart,Walmart,Walmart,Might or might not,"Personal Care,Health",Yes,,,Average,Neither likely nor unlikely,,27-40,Male,
Once a week,2,1,4,3,5,6,7,,Changed significantly,More in-store shopping,,1,4,Improved slightly,Target,,,,Definitely not,"Kitchen/Dining,Electronics",Yes,,,Good,Somewhat likely,,18-26,Male,
Once a month,2,4,3,5,6,1,7,,Remained the same,,,4,4,Improved slightly,Amazon,Walmart,Amazon,Target,Probably not,"Clothing, shoes, accessories,Other",Maybe,Price,,Good,Somewhat likely,,18-26,Male,
Once a week,4,6,5,1,2,3,7,,Changed significantly,More online shopping,,5,5,Improved significantly,Amazon,Walmart,Target,Target,Definitely yes,"Groceries,Home,Furniture,Kitchen/Dining,Baby",Yes,,,Very Good,Extremely likely,,27-40,Female,
Once a month,4,2,3,1,5,6,7,,Changed slightly,More in-store shopping,,5,5,Remained the same,Amazon,Walmart,Amazon,Amazon,Sometimes yes,"Groceries,Home,Electronics,Baby,Personal Care",Yes,,,Good,Somewhat likely,,27-40,Male,
Never,6,1,2,3,5,4,7,,Remained the same,,,2,3,Remained the same,Amazon,Walmart,Walmart,Amazon,Might or might not,"Clothing, shoes, accessories,Other",Maybe,Availability,,Good,Somewhat likely,Price,18-26,Male,
Once a week,3,7,2,4,6,1,5,Guide recommendations,Changed slightly,More online shopping,,1,2,Improved significantly,Walmart,Walmart,Target,Walmart,Definitely not,"Clothing, shoes, accessories,Health,Other",Maybe,Price,,Good,Neither likely nor unlikely,countryside,18-26,Male,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Never,1,3,7,2,5,4,6,,Remained the same,,,,,,,,,,,,,,,,,,,,
Once a month,1,4,3,6,5,2,7,,Changed slightly,More online shopping,,4,2,Improved significantly,Amazon,Target,Amazon,Target,Definitely yes,"Home,Electronics",Maybe,Price,,Good,Somewhat likely,In-store customer service ,41-55,Male,
Once a month,6,4,3,1,5,2,7,,Remained the same,,,4,4,Improved slightly,Amazon,Walmart,Target,Amazon,Definitely not,"Clothing, shoes, accessories",Maybe,Product quality,,Very Good,Neither likely nor unlikely,,18-26,Male,
Never,3,1,2,5,6,4,7,,Remained the same,,,2,2,Remained the same,Amazon,Walmart,Walmart,Amazon,Definitely not,Home,Maybe,Price,,Average,Neither likely nor unlikely,,18-26,Male,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Once a month,5,1,2,6,3,4,7,,Remained the same,,,4,5,Remained the same,Amazon,Amazon,Walmart,Amazon,Probably not,"Clothing, shoes, accessories",Maybe,Availability,,Good,Somewhat likely,Not much ,18-26,Male,
Once a month,2,1,3,4,6,5,7,,Remained the same,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Once a week,1,3,2,4,6,5,7,,Changed significantly,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Never,1,2,3,5,4,6,7,,Remained the same,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Never,2,1,3,4,5,6,7,,Remained the same,,,,,,,,,,,,,,,,,,,,
